size,run,method,time_ms
65536,6,radixsort_pow2,8.57818
65536,6,radixsort_non_pow2,8.81245
65536,7,cpu_pow2,3.309
65536,7,cpu_non_pow2,3.2483
65536,7,radixsort_pow2,8.09094
65536,7,radixsort_non_pow2,9.34371
65536,8,cpu_pow2,3.398
65536,8,cpu_non_pow2,3.2397
65536,8,radixsort_pow2,8.13494
65536,8,radixsort_non_pow2,10.0073
65536,9,cpu_pow2,3.4635
65536,9,cpu_non_pow2,3.2983
65536,9,radixsort_pow2,8.22051
65536,9,radixsort_non_pow2,8.05741
65536,10,cpu_pow2,3.6104
65536,10,cpu_non_pow2,3.2547
65536,10,radixsort_pow2,7.44486
65536,10,radixsort_non_pow2,9.26691
131072,1,cpu_pow2,7.2689
131072,1,cpu_non_pow2,7.1223
131072,1,radixsort_pow2,23.5286
131072,1,radixsort_non_pow2,10.7708
131072,2,cpu_pow2,6.986
131072,2,cpu_non_pow2,6.7363
131072,2,radixsort_pow2,9.74467
131072,2,radixsort_non_pow2,10.437
131072,3,cpu_pow2,6.9956
131072,3,cpu_non_pow2,6.8577
131072,3,radixsort_pow2,10.255
131072,3,radixsort_non_pow2,10.4286
131072,4,cpu_pow2,7.1561
131072,4,cpu_non_pow2,6.8991
131072,4,radixsort_pow2,8.01344
131072,4,radixsort_non_pow2,10.4806
131072,5,cpu_pow2,6.873
131072,5,cpu_non_pow2,6.9901
131072,5,radixsort_pow2,8.92461
131072,5,radixsort_non_pow2,10.5989
131072,6,cpu_pow2,6.9476
131072,6,cpu_non_pow2,6.8527
131072,6,radixsort_pow2,8.10896
131072,6,radixsort_non_pow2,9.09939
131072,7,cpu_pow2,6.8539
131072,7,cpu_non_pow2,6.8951
131072,7,radixsort_pow2,8.59392
131072,7,radixsort_non_pow2,10.4662
131072,8,cpu_pow2,6.9023
131072,8,cpu_non_pow2,6.8467
131072,8,radixsort_pow2,8.16234
131072,8,radixsort_non_pow2,9.75286
131072,9,cpu_pow2,6.8614
131072,9,cpu_non_pow2,6.898
131072,9,radixsort_pow2,8.07261
131072,9,radixsort_non_pow2,10.7548
131072,10,cpu_pow2,6.8861
131072,10,cpu_non_pow2,6.8388
131072,10,radixsort_pow2,8.73133
131072,10,radixsort_non_pow2,10.1843
262144,1,cpu_pow2,13.7022
262144,1,cpu_non_pow2,13.6261
262144,1,radixsort_pow2,41.0628
262144,1,radixsort_non_pow2,41.5971
262144,2,cpu_pow2,14.1539
262144,2,cpu_non_pow2,13.6582
262144,2,radixsort_pow2,40.7475
262144,2,radixsort_non_pow2,39.2637
262144,3,cpu_pow2,13.928
262144,3,cpu_non_pow2,13.431
262144,3,radixsort_pow2,39.2268
