size,suite,method,time_s,time_ms
16777216,scan,scan_naive_non_pow2,12.43128,12431.279999999999
16777216,scan,scan_naive_pow2,13.078190000000001,13078.19
16777216,scan,scan_thrust_non_pow2,1.09251,1092.51
16777216,scan,scan_thrust_pow2,1.114317,1114.317
16777216,scan,scan_work_efficient_non_pow2,1.820059,1820.0590000000002
16777216,scan,scan_work_efficient_pow2,1.969452,1969.452
33554432,compact,compact_cpu_with_scan,101.74908,101749.08
33554432,compact,compact_cpu_without_scan_non_pow2,56.018299999999996,56018.299999999996
33554432,compact,compact_cpu_without_scan_pow2,56.37746,56377.46
33554432,compact,compact_work_efficient_non_pow2,5.425766,5425.7660000000005
33554432,compact,compact_work_efficient_pow2,5.784913,5784.9130000000005
33554432,scan,scan_cpu_non_pow2,16.61139,16611.39
33554432,scan,scan_cpu_pow2,16.65162,16651.620000000003
33554432,scan,scan_naive_non_pow2,25.36685,25366.85
33554432,scan,scan_naive_pow2,25.37528,25375.28
33554432,scan,scan_thrust_non_pow2,1.653351,1653.351
33554432,scan,scan_thrust_pow2,1.636333,1636.333
33554432,scan,scan_work_efficient_non_pow2,2.892186,2892.186
33554432,scan,scan_work_efficient_pow2,3.168311,3168.311
67108864,compact,compact_cpu_with_scan,201.4574,201457.4
67108864,compact,compact_cpu_without_scan_non_pow2,111.7583,111758.3
67108864,compact,compact_cpu_without_scan_pow2,112.5916,112591.6
67108864,compact,compact_work_efficient_non_pow2,10.173964,10173.964
67108864,compact,compact_work_efficient_pow2,10.46523,10465.23
67108864,scan,scan_cpu_non_pow2,33.42099,33420.990000000005
67108864,scan,scan_cpu_pow2,32.78295,32782.95
67108864,scan,scan_naive_non_pow2,53.00927,53009.270000000004
67108864,scan,scan_naive_pow2,52.79194,52791.939999999995
67108864,scan,scan_thrust_non_pow2,2.763554,2763.554
67108864,scan,scan_thrust_pow2,2.680618,2680.618
67108864,scan,scan_work_efficient_non_pow2,4.97225,4972.25
67108864,scan,scan_work_efficient_pow2,5.1633830000000005,5163.383000000001
134217728,compact,compact_cpu_with_scan,404.18469999999996,404184.69999999995
134217728,compact,compact_cpu_without_scan_non_pow2,224.129,224129.0
134217728,compact,compact_cpu_without_scan_pow2,224.78000000000003,224780.00000000003
134217728,compact,compact_work_efficient_non_pow2,19.04403,19044.03
134217728,compact,compact_work_efficient_pow2,19.90502,19905.02
134217728,scan,scan_cpu_non_pow2,67.64089,67640.89
134217728,scan,scan_cpu_pow2,66.93283,66932.83
134217728,scan,scan_naive_non_pow2,109.04749999999999,109047.49999999999
134217728,scan,scan_naive_pow2,110.38309999999998,110383.09999999999
134217728,scan,scan_thrust_non_pow2,4.7912930000000005,4791.293000000001
134217728,scan,scan_thrust_pow2,4.714906,4714.906
134217728,scan,scan_work_efficient_non_pow2,9.416607,9416.607
134217728,scan,scan_work_efficient_pow2,9.959899,9959.899
268435456,compact,compact_cpu_with_scan,817.9296,817929.6000000001
268435456,compact,compact_cpu_without_scan_non_pow2,453.1968,453196.8
268435456,compact,compact_cpu_without_scan_pow2,451.88050000000004,451880.50000000006
268435456,compact,compact_work_efficient_non_pow2,36.87947,36879.47
268435456,compact,compact_work_efficient_pow2,38.66138,38661.380000000005
268435456,scan,scan_cpu_non_pow2,135.7765,135776.5
268435456,scan,scan_cpu_pow2,135.9568,135956.8
268435456,scan,scan_naive_non_pow2,227.6516,227651.6
268435456,scan,scan_naive_pow2,228.6208,228620.8
268435456,scan,scan_thrust_non_pow2,8.721819,8721.819
268435456,scan,scan_thrust_pow2,8.541082,8541.081999999999
268435456,scan,scan_work_efficient_non_pow2,16.88853,16888.53
268435456,scan,scan_work_efficient_pow2,17.33733,17337.33
