size,run,suite,method,time_s,time_ms
262144,4,scan,scan_thrust_non_pow2,0.605184,605.1840000000001
262144,4,compact,compact_cpu_without_scan_pow2,0.4484,448.40000000000003
262144,4,compact,compact_cpu_without_scan_non_pow2,0.4363,436.3
262144,4,compact,compact_cpu_with_scan,0.7507,750.7
262144,4,compact,compact_work_efficient_pow2,0.309856,309.856
262144,4,compact,compact_work_efficient_non_pow2,0.11776,117.76
262144,5,scan,scan_cpu_pow2,0.1297,129.70000000000002
262144,5,scan,scan_cpu_non_pow2,0.1247,124.7
262144,5,scan,scan_naive_pow2,0.47056,470.56
262144,5,scan,scan_naive_non_pow2,0.394112,394.112
262144,5,scan,scan_work_efficient_pow2,0.197408,197.408
262144,5,scan,scan_work_efficient_non_pow2,0.063488,63.488
262144,5,scan,scan_thrust_pow2,0.514048,514.048
262144,5,scan,scan_thrust_non_pow2,0.637952,637.952
262144,5,compact,compact_cpu_without_scan_pow2,0.4533,453.29999999999995
262144,5,compact,compact_cpu_without_scan_non_pow2,0.4422,442.2
262144,5,compact,compact_cpu_with_scan,0.7578,757.8000000000001
262144,5,compact,compact_work_efficient_pow2,0.294272,294.272
262144,5,compact,compact_work_efficient_non_pow2,0.110592,110.592
262144,6,scan,scan_cpu_pow2,0.1519,151.9
262144,6,scan,scan_cpu_non_pow2,0.1236,123.60000000000001
262144,6,scan,scan_naive_pow2,0.498464,498.464
262144,6,scan,scan_naive_non_pow2,0.505952,505.95199999999994
262144,6,scan,scan_work_efficient_pow2,0.202048,202.048
262144,6,scan,scan_work_efficient_non_pow2,0.095232,95.232
262144,6,scan,scan_thrust_pow2,0.470016,470.01599999999996
262144,6,scan,scan_thrust_non_pow2,0.448512,448.512
262144,6,compact,compact_cpu_without_scan_pow2,0.446,446.0
262144,6,compact,compact_cpu_without_scan_non_pow2,0.4488,448.79999999999995
262144,6,compact,compact_cpu_with_scan,0.7608,760.8000000000001
262144,6,compact,compact_work_efficient_pow2,0.287456,287.456
262144,6,compact,compact_work_efficient_non_pow2,0.101376,101.37599999999999
262144,7,scan,scan_cpu_pow2,0.1315,131.5
262144,7,scan,scan_cpu_non_pow2,0.1236,123.60000000000001
262144,7,scan,scan_naive_pow2,0.448384,448.384
262144,7,scan,scan_naive_non_pow2,0.430176,430.176
262144,7,scan,scan_work_efficient_pow2,0.22336,223.36
262144,7,scan,scan_work_efficient_non_pow2,0.063488,63.488
262144,7,scan,scan_thrust_pow2,0.587776,587.776
262144,7,scan,scan_thrust_non_pow2,0.466944,466.944
262144,7,compact,compact_cpu_without_scan_pow2,0.4529,452.90000000000003
262144,7,compact,compact_cpu_without_scan_non_pow2,0.4493,449.29999999999995
262144,7,compact,compact_cpu_with_scan,0.7285,728.5
262144,7,compact,compact_work_efficient_pow2,0.354048,354.048
262144,7,compact,compact_work_efficient_non_pow2,0.101376,101.37599999999999
262144,8,scan,scan_cpu_pow2,0.1422,142.2
262144,8,scan,scan_cpu_non_pow2,0.126,126.0
262144,8,scan,scan_naive_pow2,0.46608,466.08
262144,8,scan,scan_naive_non_pow2,0.38432,384.32
262144,8,scan,scan_work_efficient_pow2,0.199616,199.61599999999999
262144,8,scan,scan_work_efficient_non_pow2,0.063488,63.488
262144,8,scan,scan_thrust_pow2,0.598016,598.016
262144,8,scan,scan_thrust_non_pow2,0.49152,491.52000000000004
262144,8,compact,compact_cpu_without_scan_pow2,0.4483,448.29999999999995
262144,8,compact,compact_cpu_without_scan_non_pow2,0.4374,437.40000000000003
262144,8,compact,compact_cpu_with_scan,0.7773,777.3
262144,8,compact,compact_work_efficient_pow2,0.300608,300.608
262144,8,compact,compact_work_efficient_non_pow2,0.100352,100.352
262144,9,scan,scan_cpu_pow2,0.1484,148.4
262144,9,scan,scan_cpu_non_pow2,0.1519,151.9
262144,9,scan,scan_naive_pow2,0.476,476.0
262144,9,scan,scan_naive_non_pow2,0.413568,413.568
262144,9,scan,scan_work_efficient_pow2,0.192672,192.672
262144,9,scan,scan_work_efficient_non_pow2,0.074752,74.752
262144,9,scan,scan_thrust_pow2,0.52224,522.24
262144,9,scan,scan_thrust_non_pow2,0.497664,497.664
262144,9,compact,compact_cpu_without_scan_pow2,0.4477,447.7
262144,9,compact,compact_cpu_without_scan_non_pow2,0.4446,444.6
262144,9,compact,compact_cpu_with_scan,0.7858,785.8000000000001
262144,9,compact,compact_work_efficient_pow2,0.329856,329.856
262144,9,compact,compact_work_efficient_non_pow2,0.101376,101.37599999999999
262144,10,scan,scan_cpu_pow2,0.1363,136.3
262144,10,scan,scan_cpu_non_pow2,0.1041,104.1
262144,10,scan,scan_naive_pow2,0.54752,547.52
262144,10,scan,scan_naive_non_pow2,0.397024,397.024
262144,10,scan,scan_work_efficient_pow2,0.19744,197.44
262144,10,scan,scan_work_efficient_non_pow2,0.063488,63.488
262144,10,scan,scan_thrust_pow2,0.562176,562.176
262144,10,scan,scan_thrust_non_pow2,0.454656,454.656
262144,10,compact,compact_cpu_without_scan_pow2,0.4555,455.5
262144,10,compact,compact_cpu_without_scan_non_pow2,0.462,462.0
262144,10,compact,compact_cpu_with_scan,0.7988,798.8
262144,10,compact,compact_work_efficient_pow2,0.277088,277.088
262144,10,compact,compact_work_efficient_non_pow2,0.118784,118.784
131072,1,scan,scan_cpu_pow2,0.0641,64.10000000000001
131072,1,scan,scan_cpu_non_pow2,0.069,69.0
131072,1,scan,scan_naive_pow2,0.423104,423.104
131072,1,scan,scan_naive_non_pow2,0.610944,610.9440000000001
131072,1,scan,scan_work_efficient_pow2,0.197248,197.24800000000002
131072,1,scan,scan_work_efficient_non_pow2,0.056352,56.352
131072,1,scan,scan_thrust_pow2,0.14336,143.35999999999999
131072,1,scan,scan_thrust_non_pow2,0.047104,47.104
131072,1,compact,compact_cpu_without_scan_pow2,0.2291,229.1
131072,1,compact,compact_cpu_without_scan_non_pow2,0.2283,228.3
131072,1,compact,compact_cpu_with_scan,0.3813,381.29999999999995
131072,1,compact,compact_work_efficient_pow2,0.234144,234.14399999999998
131072,1,compact,compact_work_efficient_non_pow2,0.099328,99.328
131072,2,scan,scan_cpu_pow2,0.058,58.0
131072,2,scan,scan_cpu_non_pow2,0.0485,48.5
131072,2,scan,scan_naive_pow2,1.17872,1178.72
131072,2,scan,scan_naive_non_pow2,0.313568,313.56800000000004
